outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"RA7_f. Se ha verificado el funcionamiento del servicio Web.";RA7_f;;"Superado/No superado";"No superado,Superado";
"RA7_g. Se ha consumido el servicio Web.";RA7_g;;"Superado/No superado";"No superado,Superado";
"RA8_a. Se han identificado las diferencias entre la ejecución de código en el servidor y en el cliente Web.";RA8_a;;"Superado/No superado";"No superado,Superado";
"RA8_b. Se han reconocido las ventajas de unir ambas tecnologías en el proceso de desarrollo de programas.";RA8_b;;"Superado/No superado";"No superado,Superado";
"RA8_c. Se han identificado las librerías y las tecnologías relacionadas con la generación por parte del servidor de páginas Web con guiones embebidos.";RA8_c;;"Superado/No superado";"No superado,Superado";
"RA8_d. Se han utilizado estas tecnologías para generar páginas Web que incluyan interacción con el usuario en forma de advertencias y peticiones de confirmación.";RA8_d;;"Superado/No superado";"No superado,Superado";
"RA8_e. Se han utilizado estas tecnologías, para generar páginas Web que incluyan verificación de formularios.";RA8_e;;"Superado/No superado";"No superado,Superado";
"RA8_f. Se han utilizado estas tecnologías para generar páginas web que incluyan modificación dinámica de su contenido y su estructura.";RA8_f;;"Superado/No superado";"No superado,Superado";
"RA8_g. Se han aplicado estas tecnologías en la programación de aplicaciones Web.";RA8_g;;"Superado/No superado";"No superado,Superado";
"RA9_a. Se han reconocido las ventajas que proporciona la reutilización de código y el aprovechamiento de información ya existente.";RA9_a;;"Superado/No superado";"No superado,Superado";
"RA9_b. Se han identificado librerías de código y tecnologías aplicables en la creación de aplicaciones web híbridas.";RA9_b;;"Superado/No superado";"No superado,Superado";
"RA9_c. Se ha creado una aplicación web que recupere y procese repositorios de información ya existentes.";RA9_c;;"Superado/No superado";"No superado,Superado";
"RA9_d. Se han creado repositorios específicos a partir de información existente en Internet y en almacenes de información.";RA9_d;;"Superado/No superado";"No superado,Superado";
"RA9_e. Se han utilizado librerías de código para incorporar funcionalidades específicas a una aplicación web.";RA9_e;;"Superado/No superado";"No superado,Superado";
"RA9_f. Se han programado servicios y aplicaciones web utilizando como base información y código generados por terceros.";RA9_f;;"Superado/No superado";"No superado,Superado";
"RA9_g. Se han probado, depurado y documentado las aplicaciones generadas.";RA9_g;;"Superado/No superado";"No superado,Superado";
